绵阳电信4K,#genre#
四川星空购物HD,http://182.136.121.170:4022/rtp/239.93.5.113:7824
四川科教HD,http://182.136.121.170:4022/rtp/239.93.5.209:8274
四川经济HD,http://182.136.121.170:4022/rtp/239.93.5.71:8420
四海钓鱼HD,http://182.136.121.170:4022/rtp/239.93.4.22:7066
天翼指南HD,http://182.136.121.170:4022/rtp/239.93.5.122:8732
巴中宣传HD,http://182.136.121.170:4022/rtp/239.93.4.211:8848
巴中宣传HD,http://182.136.121.170:4022/rtp/239.93.5.20:7060
慢直播,#genre#
慢直播HD,http://182.136.121.170:4022/rtp/239.93.5.184:9576
慢直播‑2HD,http://182.136.121.170:4022/rtp/239.93.5.226:8020
慢直播‑3HD,http://182.136.121.170:4022/rtp/239.93.5.228:8028
未识别HD,http://182.136.121.170:4022/rtp/239.93.5.13:8072
游戏棋牌HD,http://182.136.121.170:4022/rtp/239.93.5.208:9720
爱系列HD,#genre#
爱动漫HD,http://182.136.121.170:4022/rtp/239.93.4.239:8736
爱喜剧HD,http://182.136.121.170:4022/rtp/239.93.4.225:8500
爱奇谈HD,http://182.136.121.170:4022/rtp/239.93.4.238:8722
爱幼教HD,http://182.136.121.170:4022/rtp/239.93.4.233:8682
爱悬疑HD,http://182.136.121.170:4022/rtp/239.93.4.228:8576
爱旅行HD,http://182.136.121.170:4022/rtp/239.93.4.232:8678
爱浪漫HD,http://182.136.121.170:4022/rtp/239.93.4.237:8718
爱玩具HD,http://182.136.121.170:4022/rtp/239.93.4.234:8686
爱科幻HD,http://182.136.121.170:4022/rtp/239.93.4.226:8568
爱谍战HD,http://182.136.121.170:4022/rtp/239.93.4.230:8596
爱赛车HD,http://182.136.121.170:4022/rtp/239.93.4.236:8700
爱院线HD,http://182.136.121.170:4022/rtp/239.93.4.227:8572
百视通空频道,#genre#
百视通空HD,http://182.136.121.170:4022/rtp/239.93.5.138:9302
百视通空HD,http://182.136.121.170:4022/rtp/239.93.5.142:9326
百视通空HD,http://182.136.121.170:4022/rtp/239.93.5.147:9350
百视通空HD,http://182.136.121.170:4022/rtp/239.93.5.167:9474
百视通空HD,http://182.136.121.170:4022/rtp/239.93.5.169:9486
百视通空HD,http://182.136.121.170:4022/rtp/239.93.5.23:8132
百视通空HD,http://182.136.121.170:4022/rtp/239.93.5.28:8162
百视通空HD,http://182.136.121.170:4022/rtp/239.93.5.2:8042
其他高清,#genre#
直播回放HD,http://182.136.121.170:4022/rtp/239.93.4.213:8424
睛彩亲子HD,http://182.136.121.170:4022/rtp/239.93.5.233:8082
睛彩学堂HD,http://182.136.121.170:4022/rtp/239.93.4.216:8868
睛彩少儿HD,http://182.136.121.170:4022/rtp/239.93.4.249:8804
睛彩爱宠HD,http://182.136.121.170:4022/rtp/239.93.4.247:8796
睛彩综艺HD,http://182.136.121.170:4022/rtp/239.93.5.130:8780
睛彩钓鱼HD,http://182.136.121.170:4022/rtp/239.93.4.224:8496
纪实科教HD,http://182.136.121.170:4022/rtp/239.93.5.187:9994
绵阳本地台HD,#genre#
绵阳科教HD,http://182.136.121.170:4022/rtp/239.93.5.76:8450
绵阳综合HD,http://182.136.121.170:4022/rtp/239.93.4.178:7712
标清SD,#genre#
CETV2SD,http://182.136.121.170:4022/rtp/239.93.4.191:7982
书法频道SD,http://182.136.121.170:4022/rtp/239.93.5.21:7064
生活时尚SD,http://182.136.121.170:4022/rtp/239.93.4.175:7706
先锋乒羽SD,http://182.136.121.170:4022/rtp/239.93.4.215:8864
东方卫视SD,http://182.136.121.170:4022/rtp/239.93.5.217:9774
山西卫视SD,http://182.136.121.170:4022/rtp/239.93.5.36:8210
厦门卫视SD,http://182.136.121.170:4022/rtp/239.93.5.242:9924
内蒙古卫视SD,http://182.136.121.170:4022/rtp/239.93.5.52:8306
青海卫视SD,http://182.136.121.170:4022/rtp/239.93.5.44:8258
三沙卫视SD,http://182.136.121.170:4022/rtp/239.93.5.50:8294
延边卫视SD,http://182.136.121.170:4022/rtp/239.93.5.156:9410
金鹰卡通SD,http://182.136.121.170:4022/rtp/239.93.5.218:9780
嘉佳卡通SD,http://182.136.121.170:4022/rtp/239.93.5.158:9432
卡酷少儿SD,http://182.136.121.170:4022/rtp/239.93.5.82:8486
山东教育卫视SD,http://182.136.121.170:4022/rtp/239.93.5.3:8828
星空卫视SD,http://182.136.121.170:4022/rtp/239.93.5.190:9612
优漫卡通SD,http://182.136.121.170:4022/rtp/239.93.5.105:8624
财富天下SD,http://182.136.121.170:4022/rtp/239.93.5.248:9960
财富天下SD,http://182.136.121.170:4022/rtp/239.93.5.248:9960
channelVSD,http://182.136.121.170:4022/rtp/239.93.5.198:9660
农林卫视SD,http://182.136.121.170:4022/rtp/239.93.5.173:7942
安多卫视SD,http://182.136.121.170:4022/rtp/239.93.5.181:7756
慢直播SD,http://182.136.121.170:4022/rtp/239.93.5.227:9834
